time,x,y,z
0,0,0.25,0
0.001,0.0006283185,0.251256637,0
0.002,0.0012566367,0.2525132735,0
0.003,0.0018849545,0.253769909,0
0.004,0.0025132715,0.255026543,0
0.005,0.0031415875,0.256283175,0
0.006,0.0037699023,0.2575398045,0
0.007,0.0043982155,0.2587964311,0
0.008,0.0050265271,0.2600530542,0
0.009,0.0056548366,0.2613096733,0
0.01,0.006283144,0.2625662879,0
0.011,0.0069114488,0.2638228976,0
0.012,0.0075397509,0.2650795019,0
0.013,0.0081680501,0.2663361001,0
0.014,0.008796346,0.267592692,0
0.015,0.0094246384,0.2688492769,0
0.016,0.0100529272,0.2701058543,0
0.017,0.0106812119,0.2713624238,0
0.018,0.0113094924,0.2726189849,0
0.019,0.0119377685,0.273875537,0
0.02,0.0125660399,0.2751320798,0
0.021,0.0131943063,0.2763886126,0
0.022,0.0138225675,0.2776451349,0
0.023,0.0144508232,0.2789016464,0
0.024,0.0150790732,0.2801581465,0
0.025,0.0157073173,0.2814146346,0
0.026,0.0163355552,0.2826711104,0
0.027,0.0169637866,0.2839275732,0
0.028,0.0175920113,0.2851840227,0
0.029,0.0182202291,0.2864404582,0
0.03,0.0188484397,0.2876968794,0
0.031,0.0194766429,0.2889532857,0
0.032,0.0201048383,0.2902096767,0
0.033,0.0207330258,0.2914660517,0
0.034,0.0213612052,0.2927224104,0
0.035,0.0219893761,0.2939787522,0
0.036,0.0226175383,0.2952350766,0
0.037,0.0232456916,0.2964913832,0
0.038,0.0238738357,0.2977476715,0
0.039,0.0245019704,0.2990039408,0
0.04,0.0251300954,0.3002601909,0
0.041,0.0257582105,0.3015164211,0
0.042,0.0263863155,0.3027726309,0
0.043,0.02701441,0.30402882,0
0.044,0.0276424938,0.3052849877,0
0.045,0.0282705668,0.3065411335,0
0.046,0.0288986285,0.3077972571,0
0.047,0.0295266789,0.3090533578,0
0.048,0.0301547176,0.3103094352,0
0.049,0.0307827444,0.3115654889,0
0.05,0.0314107591,0.3128215182,0
0.051,0.0320387613,0.3140775227,0
0.052,0.0326667509,0.3153335019,0
0.053,0.0332947276,0.3165894553,0
0.054,0.0339226912,0.3178453824,0
0.055,0.0345506414,0.3191012827,0
0.056,0.0351785779,0.3203571558,0
0.057,0.0358065005,0.3216130011,0
0.058,0.0364344091,0.3228688181,0
0.059,0.0370623032,0.3241246064,0
0.06,0.0376901827,0.3253803653,0
0.061,0.0383180473,0.3266360946,0
0.062,0.0389458968,0.3278917935,0
0.063,0.0395737309,0.3291474618,0
0.064,0.0402015494,0.3304030987,0
0.065,0.040829352,0.331658704,0
0.066,0.0414571385,0.332914277,0
0.067,0.0420849086,0.3341698172,0
0.068,0.0427126621,0.3354253242,0
0.069,0.0433403988,0.3366807975,0
0.07,0.0439681183,0.3379362366,0
0.071,0.0445958205,0.339191641,0
0.072,0.0452235051,0.3404470102,0
0.073,0.0458511718,0.3417023436,0
0.074,0.0464788204,0.3429576409,0
0.075,0.0471064507,0.3442129014,0
0.076,0.0477340624,0.3454681248,0
0.077,0.0483616552,0.3467233104,0
0.078,0.048989229,0.3479784579,0
0.079,0.0496167834,0.3492335667,0
0.08,0.0502443182,0.3504886364,0
0.081,0.0508718332,0.3517436663,0
0.082,0.0514993281,0.3529986561,0
0.083,0.0521268026,0.3542536052,0
0.084,0.0527542566,0.3555085132,0
0.085,0.0533816898,0.3567633795,0
0.086,0.0540091018,0.3580182037,0
0.087,0.0546364926,0.3592729852,0
0.088,0.0552638618,0.3605277236,0
0.089,0.0558912092,0.3617824183,0
0.09,0.0565185345,0.363037069,0
0.091,0.0571458375,0.364291675,0
0.092,0.0577731179,0.3655462358,0
0.093,0.0584003755,0.3668007511,0
0.094,0.0590276101,0.3680552202,0
0.095,0.0596548214,0.3693096428,0
0.096,0.0602820091,0.3705640182,0
0.097,0.060909173,0.3718183461,0
0.098,0.0615363129,0.3730726258,0
0.099,0.0621634285,0.374326857,0
0.1,0.0627905195,0.3755810391,0
0.101,0.0634175858,0.3768351716,0
0.102,0.064044627,0.378089254,0
0.103,0.0646716429,0.3793432859,0
0.104,0.0652986333,0.3805972667,0
0.105,0.065925598,0.3818511959,0
0.106,0.0665525365,0.3831050731,0
0.107,0.0671794489,0.3843588977,0
0.108,0.0678063347,0.3856126693,0
0.109,0.0684331937,0.3868663874,0
0.11,0.0690600257,0.3881200514,0
0.111,0.0696868305,0.3893736609,0
0.112,0.0703136077,0.3906272154,0
0.113,0.0709403572,0.3918807144,0
0.114,0.0715670787,0.3931341573,0
0.115,0.0721937719,0.3943875438,0
0.116,0.0728204366,0.3956408732,0
0.117,0.0734470726,0.3968941452,0
0.118,0.0740736796,0.3981473591,0
0.119,0.0747002573,0.3994005146,0
0.12,0.0753268055,0.4006536111,0
0.121,0.075953324,0.4019066481,0
0.122,0.0765798126,0.4031596251,0
0.123,0.0772062708,0.4044125417,0
0.124,0.0778326986,0.4056653973,0
0.125,0.0784590957,0.4069181915,0
0.126,0.0790854618,0.4081709237,0
0.127,0.0797117967,0.4094235934,0
0.128,0.0803381001,0.4106762003,0
0.129,0.0809643718,0.4119287437,0
0.13,0.0815906116,0.4131812231,0
0.131,0.0822168191,0.4144336382,0
0.132,0.0828429942,0.4156859883,0
0.133,0.0834691365,0.416938273,0
